timestamp_ms,setpoint_rpm,actual_rpm
10,100,0
20,100,42
30,100,120
40,100,137
50,100,120
60,100,128
70,100,111
80,100,120
90,100,111
100,100,102
110,100,102
120,100,102
130,100,94
140,100,85
150,100,94
160,100,85
170,100,85
180,100,85
190,100,85
200,100,85
210,100,77
220,100,85
230,100,94
240,100,85
250,100,77
260,100,85
270,100,94
280,100,77
290,100,85
300,100,94
310,100,85
320,100,85
330,100,77
340,100,85
350,100,85
360,100,94
370,100,77
380,100,94
390,100,77
400,100,94
410,100,85
420,100,85
430,100,77
440,100,94
450,100,85
460,100,85
470,100,77
480,100,94
490,100,85
500,100,85
510,100,85
520,100,77
530,100,85
540,100,94
550,100,85
560,100,85
570,100,77
580,100,85
590,100,85
600,100,94
610,100,85
620,100,77
630,100,85
640,100,94
650,100,85
660,100,85
670,100,77
680,100,94
690,100,85
700,100,85
710,100,85
720,100,85
730,100,85
740,100,85
750,100,85
760,100,85
770,100,85
780,100,77
790,100,94
800,100,85
810,100,85
820,100,85
830,100,85
840,100,85
850,100,85
860,100,85
870,100,85
880,100,85
890,100,85
900,100,85
910,100,85
920,100,85
930,100,85
940,100,85
950,100,85
960,100,85
970,100,85
980,100,85
990,100,77
1000,100,94
1010,100,85
1020,100,85
1030,100,85
1040,100,85
1050,100,85
1060,100,94
1070,100,85
1080,100,77
1090,100,85
1100,100,94
1110,100,85
1120,100,85
1130,100,85
1140,100,85
1150,100,77
1160,100,94
1170,100,85
1180,100,85
1190,100,85
1200,100,85
1210,100,85
1220,100,85
1230,100,94
1240,100,77
1250,100,94
1260,100,85
1270,100,85
1280,100,85
1290,100,85
1300,100,77
1310,100,94
1320,100,85
1330,100,85
1340,100,85
1350,100,94
1360,100,77
1370,100,94
1380,100,85
1390,100,85
1400,100,85
1410,100,94
1420,100,85
1430,100,85
1440,100,85
1450,100,85
1460,100,85
1470,100,85
1480,100,85
1490,100,85
1500,100,94
1510,100,85
1520,100,85
1530,100,85
1540,100,85
1550,100,85
1560,100,85
1570,100,85
1580,100,94
1590,100,85
1600,100,85
1610,100,85
1620,100,85
1630,100,85
1640,100,85
1650,100,85
1660,100,85
1670,100,94
1680,100,85
1690,100,85
1700,100,85
1710,100,85
1720,100,85
1730,100,85
1740,100,85
1750,100,85
1760,100,94
1770,100,85
1780,100,85
1790,100,85
1800,100,85
1810,100,85
1820,100,94
1830,100,85
1840,100,85
1850,100,85
1860,100,85
1870,100,85
1880,100,85
1890,100,85
1900,100,85
1910,100,94
1920,100,85
1930,100,85
1940,100,85
1950,100,85
1960,100,85
1970,100,85
1980,100,94
1990,100,85
2000,100,85
2010,100,85
2020,100,85
2030,100,85
2040,100,85
2050,100,85
2060,100,94
2070,100,85
2080,100,85
2090,100,85
2100,100,94
2110,100,85
2120,100,85
2130,100,85
2140,100,85
2150,100,85
2160,100,94
2170,100,85
2180,100,85
2190,100,94
2200,100,85
2210,100,85
2220,100,85
2230,100,94
2240,100,85
2250,100,85
2260,100,94
2270,100,85
2280,100,85
2290,100,85
2300,100,85
2310,100,85
2320,100,94
2330,100,85
2340,100,85
2350,100,94
2360,100,85
2370,100,85
2380,100,85
2390,100,94
2400,100,85
2410,100,85
2420,100,85
2430,100,94
2440,100,85
2450,100,85
2460,100,85
2470,100,94
2480,100,85
2490,100,85
2500,100,85
2510,100,94
2520,100,85
2530,100,85
2540,100,85
2550,100,85
2560,100,94
2570,100,85
2580,100,94
2590,100,85
2600,100,85
2610,100,85
2620,100,85
2630,100,94
2640,100,85
2650,100,85
2660,100,85
2670,100,94
2680,100,85
2690,100,85
2700,100,94
2710,100,85
2720,100,85
2730,100,85
2740,100,94
2750,100,85
2760,100,85
