timestamp_ms,setpoint_rpm,actual_rpm
10,100,0
20,100,51
30,100,120
40,100,120
50,100,1482
60,100,42
70,100,68
80,100,85
90,100,85
100,100,85
110,100,94
120,100,85
130,100,85
140,100,77
150,100,85
160,100,94
170,100,85
180,100,77
190,100,85
200,100,94
210,100,77
220,100,94
230,100,85
240,100,85
250,100,85
260,100,77
270,100,85
280,100,94
290,100,85
300,100,85
310,100,77
320,100,85
330,100,85
340,100,94
350,100,77
360,100,85
370,100,94
380,100,85
390,100,77
400,100,85
410,100,94
420,100,85
430,100,77
440,100,94
450,100,85
460,100,85
470,100,77
480,100,85
490,100,94
500,100,85
510,100,85
520,100,85
530,100,77
540,100,94
550,100,85
560,100,85
570,100,85
580,100,85
590,100,85
600,100,85
610,100,85
620,100,85
630,100,85
640,100,85
650,100,85
660,100,85
670,100,85
680,100,85
690,100,85
700,100,85
710,100,85
720,100,85
730,100,85
740,100,85
750,100,85
760,100,85
770,100,85
780,100,85
790,100,85
800,100,85
810,100,85
820,100,85
830,100,85
840,100,85
850,100,85
860,100,85
870,100,85
880,100,85
890,100,85
900,100,85
910,100,77
920,100,94
930,100,85
940,100,85
950,100,85
960,100,94
970,100,77
980,100,85
990,100,94
1000,100,85
1010,100,85
1020,100,85
1030,100,85
1040,100,85
1050,100,85
1060,100,85
1070,100,85
1080,100,85
1090,100,85
1100,100,85
1110,100,85
1120,100,85
1130,100,85
1140,100,85
1150,100,85
1160,100,85
1170,100,85
1180,100,85
1190,100,85
1200,100,85
1210,100,85
1220,100,85
1230,100,85
1240,100,85
1250,100,94
1260,100,85
1270,100,85
1280,100,85
1290,100,85
1300,100,85
1310,100,85
1320,100,85
1330,100,94
1340,100,85
1350,100,85
1360,100,85
1370,100,85
1380,100,85
1390,100,85
1400,100,85
1410,100,94
1420,100,85
1430,100,85
1440,100,85
1450,100,85
1460,100,85
1470,100,85
1480,100,85
1490,100,94
1500,100,85
1510,100,85
1520,100,85
1530,100,85
1540,100,85
1550,100,85
1560,100,85
1570,100,94
1580,100,85
1590,100,85
1600,100,85
1610,100,85
1620,100,85
1630,100,85
1640,100,85
1650,100,94
1660,100,85
1670,100,85
1680,100,85
1690,100,85
1700,100,85
1710,100,85
1720,100,94
1730,100,85
1740,100,85
1750,100,85
1760,100,85
1770,100,85
1780,100,85
1790,100,85
1800,100,94
1810,100,85
1820,100,85
1830,100,85
1840,100,85
1850,100,85
1860,100,94
1870,100,85
1880,100,85
1890,100,85
1900,100,85
1910,100,85
1920,100,85
1930,100,85
1940,100,94
1950,100,85
1960,100,85
1970,100,85
1980,100,85
1990,100,85
2000,100,94
2010,100,85
2020,100,94
2030,100,85
2040,100,85
2050,100,85
2060,100,85
2070,100,94
2080,100,85
2090,100,85
2100,100,85
2110,100,85
2120,100,94
2130,100,85
2140,100,94
2150,100,85
2160,100,85
2170,100,85
2180,100,85
2190,100,94
2200,100,85
2210,100,85
2220,100,85
2230,100,94
2240,100,85
2250,100,85
2260,100,85
2270,100,85
2280,100,94
2290,100,85
2300,100,94
2310,100,85
2320,100,85
2330,100,85
2340,100,85
2350,100,94
2360,100,85
2370,100,85
2380,100,85
2390,100,94
2400,100,85
2410,100,85
2420,100,85
2430,100,94
2440,100,85
2450,100,85
2460,100,94
2470,100,85
2480,100,85
2490,100,85
2500,100,94
2510,100,85
2520,100,85
2530,100,85
2540,100,94
2550,100,85
2560,100,85
2570,100,85
2580,100,94
2590,100,85
2600,100,94
2610,100,85
2620,100,85
2630,100,85
2640,100,85
2650,100,94
2660,100,85
2670,100,85
2680,100,85
2690,100,94
2700,100,85
2710,100,85
2720,100,94
2730,100,85
2740,100,85
2750,100,85
2760,100,94
2770,100,85
2780,100,85
2790,100,94
2800,100,85
2810,100,85
2820,100,94
2830,100,85
2840,100,85
2850,100,85
2860,100,94
2870,100,94
2880,100,85
2890,100,85
2900,100,85
2910,100,94
2920,100,85
2930,100,94
2940,100,85
2950,100,85
2960,100,94
2970,100,85
2980,100,85
2990,100,94
3000,100,85
3010,100,94
3020,100,85
3030,100,85
3040,100,85
3050,100,94
3060,100,94
3070,100,85
3080,100,85
3090,100,85
3100,100,94
3110,100,85
3120,100,85
3130,100,94
3140,100,85
3150,100,94
3160,100,85
3170,100,85
3180,100,94
3190,100,85
3200,100,94
3210,100,85
3220,100,85
3230,100,85
3240,100,94
3250,100,85
3260,100,94
3270,100,85
3280,100,85
3290,100,94
3300,100,85
3310,100,85
3320,100,94
3330,100,85
3340,100,94
3350,100,85
3360,100,85
3370,100,94
3380,100,94
3390,100,85
3400,100,85
3410,100,85
3420,100,94
3430,100,85
3440,100,94
3450,100,85
3460,100,85
3470,100,94
3480,100,85
3490,100,94
3500,100,85
3510,100,94
3520,100,85
3530,100,85
3540,100,94
3550,100,85
3560,100,85
3570,100,94
3580,100,85
3590,100,94
3600,100,85
3610,100,85
3620,100,94
3630,100,85
3640,100,94
3650,100,85
3660,100,94
3670,100,85
3680,100,85
3690,100,94
3700,100,85
3710,100,94
3720,100,85
3730,100,85
3740,100,94
3750,100,94
3760,100,85
3770,100,85
3780,100,94
3790,100,85
3800,100,94
3810,100,94
3820,100,85
3830,100,85
3840,100,94
3850,100,85
3860,100,94
3870,100,85
3880,100,94
3890,100,85
3900,100,94
3910,100,85
3920,100,85
3930,100,94
3940,100,94
3950,100,85
3960,100,94
3970,100,85
3980,100,85
3990,100,94
4000,100,85
4010,100,94
4020,100,94
4030,100,85
4040,100,85
4050,100,94
4060,100,85
4070,100,94
4080,100,85
4090,100,94
4100,100,85
4110,100,85
4120,100,94
4130,100,94
4140,100,85
4150,100,94
4160,100,85
4170,100,94
4180,100,85
4190,100,85
4200,100,94
4210,100,85
4220,100,94
4230,100,94
4240,100,85
4250,100,85
4260,100,94
4270,100,85
4280,100,94
4290,100,85
4300,100,94
4310,100,94
4320,100,85
4330,100,85
4340,100,94
4350,100,85
4360,100,94
4370,100,94
4380,100,85
4390,100,94
4400,100,85
4410,100,85
4420,100,94
4430,100,94
4440,100,85
4450,100,94
4460,100,85
4470,100,94
4480,100,85
4490,100,94
4500,100,85
4510,100,94
4520,100,85
4530,100,94
4540,100,85
4550,100,94
4560,100,94
4570,100,85
4580,100,85
4590,100,94
4600,100,94
4610,100,85
4620,100,85
4630,100,94
4640,100,94
4650,100,85
4660,100,94
4670,100,85
4680,100,94
4690,100,85
4700,100,94
4710,100,85
4720,100,94
4730,100,94
4740,100,85
4750,100,94
4760,100,85
4770,100,94
4780,100,94
4790,100,85
4800,100,94
4810,100,85
4820,100,94
4830,100,85
4840,100,94
4850,100,94
4860,100,85
4870,100,94
4880,100,85
4890,100,94
4900,100,85
4910,100,94
4920,100,94
4930,100,85
4940,100,94
4950,100,85
4960,100,94
4970,100,94
4980,100,85
4990,100,94
5000,100,85
5010,100,94
5020,100,85
5030,100,94
5040,100,94
5050,100,85
5060,100,94
5070,100,85
5080,100,94
5090,100,94
5100,100,85
5110,100,94
5120,100,85
5130,100,94
5140,100,85
5150,100,94
5160,100,94
5170,100,85
5180,100,94
5190,100,85
5200,100,94
5210,100,94
5220,100,85
5230,100,94
5240,100,85
5250,100,94
5260,100,85
5270,100,94
5280,100,94
5290,100,85
5300,100,94
5310,100,85
5320,100,94
5330,100,94
5340,100,85
5350,100,94
5360,100,94
5370,100,85
5380,100,94
5390,100,85
5400,100,94
5410,100,94
5420,100,94
5430,100,85
5440,100,85
5450,100,94
5460,100,94
5470,100,94
5480,100,85
5490,100,94
5500,100,85
5510,100,94
5520,100,94
5530,100,94
5540,100,85
5550,100,85
5560,100,94
5570,100,94
5580,100,94
5590,100,85
5600,100,94
5610,100,85
5620,100,94
5630,100,94
5640,100,94
5650,100,85
5660,100,94
5670,100,85
5680,100,94
5690,100,94
5700,100,85
5710,100,94
5720,100,94
5730,100,85
5740,100,94
5750,100,85
5760,100,94
5770,100,94
5780,100,85
5790,100,94
5800,100,94
5810,100,85
5820,100,94
5830,100,94
5840,100,94
5850,100,85
5860,100,94
5870,100,85
5880,100,94
5890,100,94
5900,100,94
5910,100,85
5920,100,94
5930,100,94
5940,100,85
5950,100,94
5960,100,94
5970,100,85
5980,100,94
5990,100,94
6000,100,85
6010,100,94
6020,100,94
6030,100,85
6040,100,94
6050,100,94
6060,100,94
6070,100,85
6080,100,94
6090,100,85
6100,100,94
6110,100,94
6120,100,94
6130,100,94
6140,100,85
6150,100,85
6160,100,94
6170,100,94
6180,100,94
6190,100,94
6200,100,85
6210,100,94
6220,100,85
6230,100,94
6240,100,94
6250,100,94
6260,100,85
6270,100,94
6280,100,85
6290,100,94
6300,100,94
6310,100,94
6320,100,85
6330,100,94
6340,100,94
6350,100,85
6360,100,94
6370,100,94
6380,100,85
6390,100,94
6400,100,94
6410,100,85
6420,100,94
6430,100,94
6440,100,85
6450,100,94
6460,100,94
6470,100,94
6480,100,85
6490,100,94
6500,100,94
6510,100,85
6520,100,94
6530,100,94
6540,100,94
6550,100,94
6560,100,85
6570,100,94
6580,100,94
6590,100,85
6600,100,94
6610,100,94
6620,100,94
6630,100,94
6640,100,85
6650,100,94
6660,100,94
6670,100,94
6680,100,85
6690,100,94
6700,100,94
6710,100,85
6720,100,94
6730,100,94
6740,100,94
6750,100,94
6760,100,85
6770,100,94
6780,100,94
6790,100,94
6800,100,85
6810,100,94
6820,100,94
6830,100,85
6840,100,94
6850,100,94
6860,100,94
6870,100,85
6880,100,94
6890,100,94
6900,100,94
6910,100,94
6920,100,85
6930,100,94
6940,100,94
6950,100,94
6960,100,85
6970,100,94
6980,100,94
6990,100,85
7000,100,94
7010,100,94
7020,100,94
7030,100,94
7040,100,85
7050,100,94
7060,100,94
7070,100,94
7080,100,94
7090,100,85
7100,100,94
7110,100,94
7120,100,94
7130,100,85
7140,100,94
7150,100,94
7160,100,94
7170,100,94
7180,100,85
7190,100,94
7200,100,94
7210,100,94
7220,100,85
7230,100,94
7240,100,94
7250,100,94
7260,100,94
7270,100,85
7280,100,94
7290,100,94
7300,100,94
7310,100,94
7320,100,85
7330,100,94
7340,100,94
7350,100,94
7360,100,85
7370,100,94
7380,100,94
7390,100,94
7400,100,85
7410,100,94
7420,100,94
7430,100,94
7440,100,94
7450,100,94
7460,100,85
7470,100,94
7480,100,94
7490,100,94
7500,100,85
7510,100,94
7520,100,94
7530,100,94
7540,100,94
7550,100,85
7560,100,94
7570,100,94
7580,100,85
7590,100,94
7600,100,94
7610,100,102
7620,100,85
7630,100,94
7640,100,94
7650,100,85
7660,100,94
7670,100,94
7680,100,94
7690,100,94
7700,100,85
7710,100,94
7720,100,94
7730,100,94
7740,100,94
7750,100,94
7760,100,85
7770,100,94
7780,100,94
7790,100,85
7800,100,94
7810,100,102
7820,100,85
7830,100,94
7840,100,94
7850,100,94
7860,100,94
7870,100,94
7880,100,94
7890,100,94
7900,100,85
7910,100,94
7920,100,94
7930,100,94
7940,100,94
7950,100,94
7960,100,85
7970,100,94
7980,100,94
7990,100,94
8000,100,94
8010,100,94
8020,100,94
8030,100,94
8040,100,85
8050,100,94
8060,100,94
8070,100,94
8080,100,94
8090,100,94
8100,100,94
8110,100,85
8120,100,94
8130,100,94
8140,100,94
8150,100,94
8160,100,94
8170,100,94
8180,100,85
8190,100,94
8200,100,94
8210,100,94
8220,100,94
8230,100,94
8240,100,94
8250,100,94
8260,100,85
8270,100,94
8280,100,94
8290,100,94
8300,100,94
8310,100,94
8320,100,85
8330,100,94
8340,100,94
8350,100,94
8360,100,94
8370,100,94
8380,100,94
8390,100,85
8400,100,94
8410,100,94
8420,100,94
8430,100,94
8440,100,94
8450,100,94
8460,100,94
8470,100,94
8480,100,85
8490,100,94
8500,100,94
8510,100,94
8520,100,94
8530,100,94
8540,100,94
8550,100,94
8560,100,85
8570,100,94
8580,100,94
8590,100,94
8600,100,94
8610,100,94
8620,100,94
8630,100,94
8640,100,85
8650,100,94
8660,100,94
8670,100,94
8680,100,94
8690,100,94
8700,100,94
8710,100,94
8720,100,85
8730,100,102
8740,100,85
8750,100,94
8760,100,94
8770,100,102
8780,100,94
8790,100,85
8800,100,94
8810,100,94
8820,100,94
8830,100,94
8840,100,94
8850,100,94
8860,100,94
8870,100,85
8880,100,94
8890,100,94
8900,100,94
8910,100,94
8920,100,94
8930,100,94
8940,100,94
8950,100,94
8960,100,85
8970,100,94
8980,100,94
8990,100,94
9000,100,94
9010,100,94
9020,100,94
9030,100,85
9040,100,94
9050,100,94
9060,100,94
9070,100,94
9080,100,94
9090,100,94
9100,100,94
9110,100,94
9120,100,85
9130,100,94
9140,100,94
9150,100,94
9160,100,94
9170,100,94
9180,100,94
9190,100,94
9200,100,85
9210,100,94
9220,100,94
9230,100,94
9240,100,94
9250,100,94
9260,100,94
9270,100,94
9280,100,94
9290,100,94
9300,100,94
9310,100,94
9320,100,85
9330,100,102
9340,100,94
9350,100,94
9360,100,85
9370,100,102
9380,100,94
9390,100,94
9400,100,94
9410,100,94
9420,100,94
9430,100,94
9440,100,85
9450,100,102
9460,100,94
9470,100,94
9480,100,94
9490,100,94
9500,100,94
9510,100,94
9520,100,85
9530,100,102
9540,100,94
9550,100,94
9560,100,94
9570,100,94
9580,100,85
9590,100,102
9600,100,94
9610,100,94
9620,100,94
9630,100,94
9640,100,94
9650,100,94
9660,100,94
9670,100,94
9680,100,94
9690,100,94
9700,100,85
9710,100,102
9720,100,94
9730,100,94
